TSP,TSP Name,TSP FERC CID,Loc,Loc Name,Loc Loctr ID,Loc Loctr,Loc Cnty,Loc St Abbrev,Loc Zone,Loc Type Ind,Dir Flo,Loc Stat Ind,Eff Date,Inact Date,Up/Dn Ind,Up/Dn Name,Up/Dn ID,Up/Dn FERC CID Ind,Up/Dn FERC CID,Up/Dn Loc Name,Up/Dn Loc,Update D/T
784158214,Northern Natural Gas Company,C000060,71328,MID 11 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 11,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71313,MID 12 POOLING POINT,,,NON-GEOGRAPHIC,OK,MID 12,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71329,MID 12 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,OK,MID 12,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71314,MID 13 POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 13,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71330,MID 13 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 13,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,78932,MID 13-16A POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 13,PPT,B,A,20070909,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,78935,MID 13-16A STORAGE POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 13,PPT,B,A,20070909,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71315,MID 14 POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 14,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71331,MID 14 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 14,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71316,MID 15 POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 15,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71332,MID 15 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 15,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71317,MID 16A POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 16 A,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71450,MID 16A POOLING POINT-1707,,,NON-GEOGRAPHIC,KS,MID 16 A,PPT,B,A,19990301,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71333,MID 16A STORAGE POOLING POINT,,,NON-GEOGRAPHIC,KS,MID 16 A,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71451,MID 16A STORAGE POOLING POINT-1707,,,NON-GEOGRAPHIC,KS,MID 16 A,PPT,B,A,19990301,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71458,MID 17 POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 17,PPT,B,A,19991101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71459,MID 17 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,MU,MID 17,PPT,B,A,19991101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71303,MID 2 POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 2,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71319,MID 2 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 2,PPT,B,A,19981101,,N,,,N,,,,20160307 20:53
784158214,Northern Natural Gas Company,C000060,71304,MID 3 POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 3,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71320,MID 3 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 3,PPT,B,A,19981101,,N,,,N,,,,20160307 20:53
784158214,Northern Natural Gas Company,C000060,71305,MID 4 POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 4,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71321,MID 4 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 4,PPT,B,A,19981101,,N,,,N,,,,20160307 20:53
784158214,Northern Natural Gas Company,C000060,71306,MID 5 POOLING POINT,,,NON-GEOGRAPHIC,NM,MID 5,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71322,MID 5 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,NM,MID 5,PPT,B,A,19981101,,N,,,N,,,,20160423 05:00
784158214,Northern Natural Gas Company,C000060,71307,MID 6 POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 6,PPT,B,A,19981101,,N,,,N,,,,20160307 16:53
784158214,Northern Natural Gas Company,C000060,71323,MID 6 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 6,PPT,B,A,19981101,,N,,,N,,,,20160307 20:53
784158214,Northern Natural Gas Company,C000060,71308,MID 7 POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 7,PPT,B,A,19981101,,N,,,N,,,,20160308 08:54
784158214,Northern Natural Gas Company,C000060,71324,MID 7 STORAGE POOLING POINT,,,NON-GEOGRAPHIC,TX,MID 7,PPT,B,A,19981101,,N,,,N,,,,20160307 20:53
