TSP,TSP Prop,TSP Name,TSP FERC CID,Loc,Loc Name,Eff Date,Inact Date,Loc Stat Ind,Loc Type Ind,Dir Flo,Loc Zone,Loc Cnty,Loc St Abbrev,Up/Dn Ind,Up/Dn FERC CID Ind,Up/Dn Name,Up/Dn ID,Up/Dn ID Prop,Up/Dn FERC CID,Up/Dn Loc,Up/Dn Loc Name,PipelineSegmentCd,MarketArea,OpArea,GathTransInd,ProcessType,EGMFlag,AggAreaCd,Update D/T
006958581,,ANR Pipeline Company,C000623,13136   ,SOUTH MARYVILLE         ,19000101,,A,LDC,B,ML-6,NODAWAY,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 6  L,Zone 6,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13137   ,BARNARD                 ,19000101,,A,LDC,B,ML-6,NODAWAY,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 6  A,Zone 6,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13138   ,RAVENWOOD               ,19000101,,A,LDC,B,ML-6,NODAWAY,MO,Y,N,THE EMPIRE DISTRICT GAS COMPANY,625371880,,,,,MW 6  A,Zone 6,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,13215   ,GRANT CITY              ,19000101,,A,LDC,B,ML-6,WORTH,MO,Y,N,"CITY OF GRANT CITY, MISSOURI",005702907,,,,,MW 6  A,Zone 6,,T,,N,,20251023 06:54
006958581,,ANR Pipeline Company,C000623,132849  ,LEBANON/GLEN KARN (ANR) ,19000101,,A,STA,B,ML-3,DARKE,OH,N,N,,,,,,,ME 3  B,Zone 3,,T,,N,Lebanon,20250929 22:29
006958581,,ANR Pipeline Company,C000623,138611  ,ROGERS HEIGHTS          ,19000101,,A,LDC,B,ML-7,MECOSTA,MI,Y,Y,DTE Gas Company,006958540,,C000428,,,MI 7  E,Zone 7,,T,,N,Northern,20250929 22:29
006958581,,ANR Pipeline Company,C000623,138660  ,CHRISNEY/MGT (RECEIPT)  ,19000101,,A,INT,R,ML-3,SPENCER,IN,Y,Y,Midwestern Gas Transmission Company,006792451,,C000582,,,ME 3  A,Zone 3,,T,,N,,20251020 08:14
006958581,,ANR Pipeline Company,C000623,138675  ,SHOREWOOD INTERCONNECT  ,19000101,,A,LDC,B,ML-7,WILL,IL,Y,Y,Northern Illinois Gas Company d/b/a Nicor Gas Company,006927792,,C000600,,,MI 7  F,Zone 7,,T,,N,Joliet,20251023 07:40
006958581,,ANR Pipeline Company,C000623,138677  ,DUNKIRK                 ,19000101,,A,LDC,D,ML-3,JAY,IN,Y,N,"INDIANA GAS COMPANY, INC.",006938211,,,,,ME 3  C,Zone 3,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,138744  ,CROWN POINT/NIPSCO      ,19000101,,A,LDC,B,ML-7,LAKE,IN,Y,N,Northern Indiana Public Service Company LLC,006937585,,,,,MI 7  G,Zone 7,,T,,N,Joliet,20251023 07:41
006958581,,ANR Pipeline Company,C000623,138745  ,LYNN/WINCHESTER         ,19000101,,A,LDC,B,ML-3,RANDOLPH,IN,Y,N,Ohio Valley Gas Corporation,006940274,,,,,ME 3  B,Zone 3,,T,,N,Lebanon,20250929 22:29
006958581,,ANR Pipeline Company,C000623,138747  ,SOUTH CHRISNEY (SIGECO) ,19000101,,A,LDC,D,ML-3,SPENCER,IN,Y,N,Southern Indiana Gas and Electric Company,006937015,,,,,ME 3  A,Zone 3,,T,,N,,20251023 07:41
006958581,,ANR Pipeline Company,C000623,138748  ,ELDON                   ,19000101,,A,LDC,B,ML-6,WAPELLO,IA,Y,N,Interstate Power and Light Company,006940522,,,,,MW 6  I,Zone 6,,T,,N,,20250929 22:29
006958581,,ANR Pipeline Company,C000623,1387567 ,TEPETATE                ,19000101,,A,INT,D,SE-1,ACADIA,LA,Y,N,"ENLINK MIDSTREAM OPERATING, LP",878636729,,,,,SE 1  H,Zone 1,,T,,N,,20251023 12:16
006958581,,ANR Pipeline Company,C000623,1387755 ,LEBANON/DOMINION RECEIPT,19000101,,A,INT,R,ML-3,WARREN,OH,Y,Y,"Eastern Gas Transmission and Storage, Inc.",116025180,,C000160,,,ME 3  B,Zone 3,,T,,N,Lebanon,20251020 11:23
006958581,,ANR Pipeline Company,C000623,1388866 ,OTISVILLE OFFSYSTEM     ,,20250919,I,OTH,B,ML-7,GENESEE,MI,Y,N,GREAT LAKES GAS TRANSMISSION COMPANY,824900229,,,,,ML 0  B,Zone 7,,T,,N,Northern,20250919 09:48
