LOCATION NAME,LOCATION OPERATOR,LOCATION,POOLING AREA,LOCATION TYPE,STATE,COUNTY,METER CAPACITY,
RIVIANA FOODS 2 ACCT   ,ENABLE GAS TRANSMISSION  ,012786,NORTH,MQ,AR,MONROE                        ,000001320,
RANDALL FARMS_ACCT     ,ENABLE GAS TRANSMISSION  ,012812,SOUTH,MQ,LA,BIENVILLE                     ,000000001,
ASPHALT PRODUCTS-ACCT  ,ENABLE GAS TRANSMISSION  ,012821,NORTH,MQ,AR,PULASKI                       ,000000001,
CERTAINTEED CO ACC     ,ENABLE GAS TRANSMISSION  ,012822,NORTH,MQ,AR,PIKE                          ,000000320,
BLKST CONST ACCT#2     ,ENABLE GAS TRANSMISSION  ,012823,NORTH,MQ,AR,POPE                          ,000003900,
CUMMINS CNST-STRGTN-ACC,ENABLE GAS TRANSMISSION  ,012824,WEST2,MQ,OK,ATOKA                         ,000000001,
GARLAND GASTON LUMBER  ,ENABLE GAS TRANSMISSION  ,012825,SOUTH,MQ,AR,OUACHITA                      ,000000001,
MARTIN MARIETTA-AR ACCT,ENABLE GAS TRANSMISSION  ,012826,SOUTH,MQ,AR,MILLER                        ,000000001,
POST FOODS ACCT        ,ENABLE GAS TRANSMISSION  ,012827,NORTH,MQ,AR,CRAIGHEAD                     ,000003280,
TRIUMPH FAB ACCT       ,ENABLE GAS TRANSMISSION  ,012838,NORTH,MQ,AR,GARLAND                       ,000003160,
MAHLE ENGINE ACCT      ,ENABLE GAS TRANSMISSION  ,012839,NORTH,MQ,AR,POPE                          ,000000670,
JONESBORO CITY W & L   ,ENABLE GAS TRANSMISSION  ,012849,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
HIX LBR@RUSVL ACCT     ,ENABLE GAS TRANSMISSION  ,012850,NORTH,MQ,AR,POPE                          ,000002370,
REP PAPERBRD ACCT      ,ENABLE GAS TRANSMISSION  ,012865,WEST2,MQ,OK,COMANCHE                      ,000035010,
ATLAS ASPHLT-AIRPT-ACCT,ENABLE GAS TRANSMISSION  ,012866,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
ATLS ASP BATE-ACCT     ,ENABLE GAS TRANSMISSION  ,012867,NORTH,MQ,AR,CRAIGHEAD                     ,000001250,
ATLS ASP BEAR-ACCT     ,ENABLE GAS TRANSMISSION  ,012868,NORTH,MQ,AR,CRAIGHEAD                     ,000004010,
ARKALITE - ACCT        ,ENABLE GAS TRANSMISSION  ,012869,NORTH,MQ,AR,CRITTENDEN                    ,000000001,
APAC                   ,ENABLE GAS TRANSMISSION  ,012871,NORTH,MQ,AR,ST. FRANCIS                   ,000001700,
TEXARKANA ASPHALT-PRESC,ENABLE GAS TRANSMISSION  ,012872,SOUTH,MQ,AR,NEVADA                        ,000000001,
RFI HICKORY RIDGE ACCT ,ENABLE GAS TRANSMISSION  ,012873,NORTH,MQ,AR,WOODRUFF                      ,000000001,
DRUMMOND ASPHALT-ACCT  ,ENABLE GAS TRANSMISSION  ,012874,NORTH,MQ,AR,CROSS                         ,000000070,
HOT SPRCO MED-ACCT     ,ENABLE GAS TRANSMISSION  ,012878,NORTH,MQ,AR,HOT SPRING                    ,000000260,
SWEPCO LONE STAR SUM   ,SOUTHWESTERN ELECTRIC POW,012881,SOUTH,MQ,TX,MORRIS                        ,000045000,
WHITE-RODGERS CO_ACCT  ,ENABLE GAS TRANSMISSION  ,012882,NORTH,MQ,AR,INDEPENDENCE                  ,000000001,
LITTLEROCK AFB ACC     ,ENABLE GAS TRANSMISSION  ,012884,NORTH,MQ,AR,PULASKI                       ,000002370,
ROSEBUR FOR PRO AC     ,ENABLE GAS TRANSMISSION  ,012909,SOUTH,MQ,AR,UNION                         ,000020000,
HARDING UNIVE_ACCT     ,ENABLE GAS TRANSMISSION  ,012910,NORTH,MQ,AR,WHITE                         ,000001870,
EOIT STUART REC SUMM   ,ENOGEX INC               ,012928,NEUT ,M2,OK,HUGHES                        ,000125000,
KISATCHIE POLE ACC     ,ENABLE GAS TRANSMISSION  ,012929,NORTH,MQ,AR,GRANT                         ,000000350,
IP JONESBORO ACCT      ,ENABLE GAS TRANSMISSION  ,012931,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
VANGUARD @ AC POTATO HI,SANGUINE GAS EXPLORATION ,012948,NEUT ,M2,OK,LATIMER                       ,000400000,
PRESTOLITE WIR ACC     ,ENABLE GAS TRANSMISSION  ,012949,NORTH,MQ,AR,CRAIGHEAD                     ,000001230,
ARCELOR PB ACCT        ,ENABLE GAS TRANSMISSION  ,012950,NORTH,MQ,AR,JEFFERSON                     ,000000780,
GEORG PAC FORD ACC     ,ENABLE GAS TRANSMISSION  ,012954,SOUTH,MQ,AR,DALLAS                        ,000006660,
VIRCO-STUR RD_ACCT     ,ENABLE GAS TRANSMISSION  ,012955,NORTH,MQ,AR,FAULKNER                      ,000000960,
VIRCO-AMITY RD ACC     ,ENABLE GAS TRANSMISSION  ,012956,NORTH,MQ,AR,FAULKNER                      ,000000560,
MEMPHIS BEVERAGE_ACCT  ,ENABLE GAS TRANSMISSION  ,012985,NORTH,MQ,AR,CRITTENDEN                    ,000000120,
COCA COLA ENT-ACCT     ,ENABLE GAS TRANSMISSION  ,012986,NORTH,MQ,AR,PULASKI                       ,000000001,
ARKANSAS LIME CO       ,ARKANSAS LIME COMPANY    ,012989,NORTH,MQ,AR,CRAIGHEAD                     ,000000001,
CW REGION MED-ACCT     ,ENABLE GAS TRANSMISSION  ,012998,NORTH,MQ,AR,FAULKNER                      ,000000740,
